Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-12-01 00:00:00,37723.97,37744.72,37615.86,37682.38,714.37747,2023-12-01 00:59:59.999000072,26903501.9588841,32419,301.42173,11350169.1370321,0
2023-12-01 01:00:00,37682.39,37965.51,37640.46,37946.02,2030.55901,2023-12-01 01:59:59.999000072,76888727.8306646,67071,1136.37874,43023719.5060035,0
2023-12-01 02:00:00,37946.01,38082.42,37871.1,37990.8,1189.68483,2023-12-01 02:59:59.999000072,45171065.6377202,46670,601.42265,22838764.1176748,0
2023-12-01 03:00:00,37990.79,38067.77,37950.54,38043.05,999.26423,2023-12-01 03:59:59.999000072,37980471.3014414,39211,476.14262,18097158.8087646,0
2023-12-01 04:00:00,38043.04,38243.3,38022.67,38179.86,2541.15612,2023-12-01 04:59:59.999000072,96936342.5974397,70273,1328.08399,50659831.5608266,0
2023-12-01 05:00:00,38179.86,38200.11,38092.01,38120.84,987.47954,2023-12-01 05:59:59.999000072,37671397.7267693,42658,419.24435,15992929.0117455,0
2023-12-01 06:00:00,38120.84,38220.0,38070.1,38214.23,880.57143,2023-12-01 06:59:59.999000072,33579258.3516639,41892,450.78206,17191196.0150117,0
2023-12-01 07:00:00,38214.23,38348.0,38202.52,38244.08,2602.65703,2023-12-01 07:59:59.999000072,99639913.5116853,72695,1167.07402,44679382.7189341,0
2023-12-01 08:00:00,38244.08,38358.0,38215.0,38313.47,1693.38325,2023-12-01 08:59:59.999000072,64839353.5581486,60587,881.02608,33734885.5467014,0
2023-12-01 10:00:00,38705.25,38833.0,38534.98,38541.02,3117.92983,2023-12-01 10:59:59.999000072,120600022.2404062,83926,1673.42024,64751764.0488162,0
2023-12-01 11:00:00,38541.01,38659.4,38508.89,38580.17,1194.95019,2023-12-01 11:59:59.999000072,46114687.7680614,48353,582.37526,22473321.8823381,0
2023-12-01 12:00:00,38580.17,38629.65,38300.01,38360.95,2015.09634,2023-12-01 12:59:59.999000072,77490334.9514957,73300,831.10161,31961698.9228105,0
2023-12-01 13:00:00,38360.95,38438.81,38300.0,38367.15,1231.3716,2023-12-01 13:59:59.999000072,47249828.1292262,55099,661.17135,25370195.4621373,0
2023-12-01 14:00:00,38367.14,38396.35,38219.0,38324.57,1671.31641,2023-12-01 14:59:59.999000072,64026902.9760905,64329,779.31294,29852660.8005752,0
2023-12-01 15:00:00,38324.58,38446.54,38293.04,38413.5,1680.11598,2023-12-01 15:59:59.999000072,64505199.2441686,61559,861.27059,33065251.113255,0
2023-12-01 16:00:00,38413.51,38999.0,38395.0,38801.92,4571.59062,2023-12-01 16:59:59.999000072,177050425.9399087,139845,2574.53716,99705189.2706652,0
