Datetime,Open,High,Low,Close,Adj Close,Volume,EMA,EMASignal,VSignal,PriceSignal,TotSignal
2022-02-01 00:00:00,38481.765625,38545.5625,38336.6015625,38341.38671875,38341.38671875,0,,0,0,0,0
2022-02-01 01:00:00,38340.21875,38392.25390625,38223.53125,38265.7734375,38265.7734375,0,,0,0,0,0
2022-02-01 02:00:00,38266.6328125,38489.6171875,38256.94921875,38468.67578125,38468.67578125,0,,0,1,0,0
2022-02-01 03:00:00,38472.09765625,38622.9140625,38430.5625,38615.33984375,38615.33984375,268036096,,0,1,0,0
2022-02-01 04:00:00,38617.2109375,38639.0390625,38532.63671875,38575.0390625,38575.0390625,33286144,,0,1,0,0
2022-02-01 05:00:00,38572.0,38608.47265625,38520.25390625,38554.40234375,38554.40234375,52004864,,0,1,0,0
2022-02-01 06:00:00,38548.78515625,38548.78515625,38318.3828125,38347.68359375,38347.68359375,180107264,,0,1,0,0
2022-02-01 07:00:00,38345.66015625,38459.26171875,38331.55078125,38446.62890625,38446.62890625,0,,0,1,0,0
2022-02-01 08:00:00,38447.453125,38580.33203125,38439.82421875,38580.33203125,38580.33203125,82151424,,0,1,0,0
2022-02-01 09:00:00,38584.3984375,39026.7890625,38316.34375,38316.34375,38316.34375,1244778496,,0,1,0,0
2022-02-01 10:00:00,38321.25,38346.56640625,38113.6640625,38240.19921875,38240.19921875,494030848,,3,1,0,0
2022-02-01 11:00:00,38243.58984375,38439.16796875,38243.58984375,38421.8828125,38421.8828125,21782528,,3,0,0,0
2022-02-01 12:00:00,38434.48046875,38708.4453125,38432.73828125,38623.3984375,38623.3984375,0,,3,0,0,0
2022-02-01 13:00:00,38623.19140625,38920.45703125,38562.6015625,38911.41796875,38911.41796875,402429952,,3,1,0,0
2022-02-01 14:00:00,38898.9375,38940.85546875,38466.70703125,38471.203125,38471.203125,390948864,,3,1,0,0
2022-02-01 15:00:00,38495.7890625,38573.72265625,38297.3515625,38573.72265625,38573.72265625,0,,3,0,0,0
2022-02-01 16:00:00,38616.07421875,39071.9921875,38616.07421875,39071.9921875,39071.9921875,0,,3,1,0,0
2022-02-01 17:00:00,39060.5234375,39115.1328125,38766.16796875,38861.60546875,38861.60546875,0,,3,1,0,0
2022-02-01 18:00:00,38875.53515625,38884.6796875,38626.05078125,38626.05078125,38626.05078125,0,,3,1,0,0
2022-02-01 19:00:00,38586.85546875,38604.5625,38406.578125,38406.78125,38406.78125,0,,3,1,0,0
2022-02-01 20:00:00,38403.3515625,38706.79296875,38403.3515625,38687.80859375,38687.80859375,103952384,,3,1,0,0
2022-02-01 21:00:00,38670.15234375,38785.49609375,38589.42578125,38741.50390625,38741.50390625,0,,3,1,0,0
2022-02-01 22:00:00,38742.21875,38820.3671875,38645.59765625,38649.42578125,38649.42578125,0,,3,1,0,0
2022-02-01 23:00:00,38666.96875,38858.91796875,38653.31640625,38754.453125,38754.453125,127707136,,3,1,0,0
2022-02-02 00:00:00,38743.71484375,38834.6171875,38519.25,38585.01171875,38585.01171875,13662208,,3,1,0,0
